Zielobjekt,Baustein,Anforderung,Anforderungs-Typ,Umsetzungsgrad,Umsetzung,Richtlinie,Verantwortlicher
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A11 Geregelter Einsatz von Erweiterungen für Office-Produkte,Standard,Entbehrlich,Es werden keine Erweiterungen für Office-Produkte eingesetzt.,,
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A12 Verzicht auf Cloud-Speicherung,Standard,Ja,Die Cloud-Funktionen der Office-Produkte werden institutionsweit deaktiviert. Die Dokumente werden auf dem Dateiserver der RECPLAST GmbH gespeichert. Dokumente werden über Mail zur Verfügung gestellt. Dabei sind die Vorgaben der Klassifizierung zu beachten.,,IT-Betrieb
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A13 Verwendung von Viewer-Funktionen,Standard,Ja,Bei nicht vertrauenswürdigen Dokumente ist die Bearbeitung standardmäßig deaktiviert. Die Bearbeitung lässt sich von Benutzern aktivieren. Die Mitarbeiter werden jedoch regelmäßig auf die Gefahren hingewiesen und geschult.,,Benutzer
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A14 Schutz gegen nachträgliche Veränderungen von Informationen,Standard,Ja,Die Mitarbeiter werden über die Möglichkeiten des Schutzes von Dateien vor nachträglichen Änderungen geschult. Anleitungen dazu finden sich im internen Wiki.,,Benutzer
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A15 Einsatz von Verschlüsselung und Digitalen Signaturen,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfes nicht notwendig.,,
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A16 Integritätsprüfung von Dokumenten,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfes nicht notwendig.,,
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A1 Verwendung von Sandboxing,Basis,Ja,"Es werden nur Browser eingesetzt, welche die Anforderungen erfüllen.",,IT-Betrieb
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A2 Verschlüsselung der Kommunikation,Basis,Ja,"Es werden nur Browser eingesetzt, welche TLS und HTTPS unterstützen. Unsichere TLS-Versionen sind instutitsweit deaktiviert.",,IT-Betrieb
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A3 Verwendung von Zertifikaten,Basis,Ja,"Die Wurzelzertifikate und die selbst bereitgestellten Zertifikate sind standardmäßig in den installierten Browsern enthalten. Die Browser prüfen den Sperrstatus. Der Benutzer wird informiert, wenn Zertifikate fehlen, ungültig sind doer widerrufen wurden.",,Benutzer
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A4 Versionsprüfung und Aktualisierung des Web-Browsers,Basis,Ja,Die Benutzer können die Versionsstände einsehen. Die Updates werden durch die Administratoren eingespielt.,,"Administrator, Benutzer"
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A5 Basiskonfiguration,Standard,Ja,Die Browser sind zentral konfiguriert und können von den Benutzern nicht verändert werden.,,Administrator
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A6 Kennwortmanagement im Web-Browser,Standard,Ja,"Es werden nur Browser eingesetzt, welche eine sichere interne Passwortverwaltung integriert haben. Die Mitarbeiter werden auf die Gefahren hingewiesen und es wird empfohlen, die internen Kennwortmanager nicht zu nutzen.",,Benutzer
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A7 Schutz von Daten,Standard,Ja,Cookies von Drittanbietern werden standardmäßig abgelehnt. Die Cookies lassen sich vom Benutzer löschen. Die Auto-Vervollständigung ist deaktiviert. Alle Synchronisationen mit Cloud-Diensten wird insofern möglich deaktivierit. Mikrofon oder Webcam kann jeder Mitarbeiter selbst zulassen oder deaktivieren.,,Benutzer
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A8 Verwendung von Plug-ins und Erweiterungen,Standard,Ja,Plugins und Erweiterungen für die Browser lassen sich nur mit Administratorrechten installieren. Die RECPLAST GmbH setzt keine Plugins ein.,,Benutzer
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A9 Einsatz einer isolierten Browser-Umgebung,Erhöht,Ja,Anforderung wird durch den Einsatz von ReCoBs umgesetzt.,,
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A10 Verwendung des privaten Modus,Erhöht,Ja,Anforderung wird durch den Einsatz von ReCoBs umgesetzt.,,
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A11 überprüfung auf schädliche Inhalte,Erhöht,Ja,Anforderung wird durch den Einsatz von ReCoBs umgesetzt.,,
A003 Web-Browser,APP.1.2 Web-Browser,APP.1.2.A12 Zwei-Browser-Strategie,Erhöht,Ja,Anforderung wird durch den Einsatz von ReCoBs umgesetzt.,,
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A1 Anforderungsanalyse für Apps,Basis,Ja,"Bevor eine APP genutzt wird, wird analysiert, für welchen Zweck und welche IT-Systeme gebraucht werden. Es wird geprüft, wie der Schutzbedarf einer solchen APP ist und ob rechtliche Rahmenbedingungen betrachtet werden müssen. Es wird geprüft, inwieweit es Kontroll- und Einflussmöglichkeiten auf Betriebssystemebene gibt.",Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A2 Regelungen für die Verwendung von mobilen Endgeräten und Apps,Basis,Ja,Die Regelungen bezüglich der mobilen APPS sind Bestandteil der Security Policy. Apps werden wie andere Anwendungen behandelt und dürfen nur durch Administratoren installiert werden. Es dürfen nur ausgewählte APPs installiert werden.,Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A3 Sichere Quellen für Apps,Basis,Ja,APPs dürfen nur aus sicheren Quellen installiert werden. Nicht vertrauenswürdige Stores werden wenn möglich deaktiviert. Die APPs werden über das MDM der Institution installiert.,Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A4 Test und Freigabe von Apps,Basis,Ja,Die APPs werden vor Produktivbetrieb getestet und freigegeben. Die Ergebnisse werden dokumentiert. Die Tests werden für alle in der RECPLAST GmbH genutzten mobilen Endgeräte getestet.,Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A5 Minimierung und Kontrolle von App-Berechtigungen,Basis,Ja,Die App-Berechtigungen werden immer analysiert und falls möglich eingeschränkt. Berechtigungseinstellungen sind für Benutzer durch das MDM gesperrt.,Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A6 Patchmanagement für Apps,Basis,Ja,"Die Updates werden über das MDM gesteuert. Die Updates werden priorisiert und bewertet. Sollten keine Patches zur Verfügung stehen, werden Maßnahmen entwickelt, welche die Schwachstellen schließen. Sollte dies nicht möglich sein, werden die Apps deinstalliert.",Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A7 Sichere Speicherung lokaler App-Daten,Basis,Ja,Die lokale Speicherung von App-Daten ist deaktiviert.,Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A8 Verhinderung von Datenabfluss,Basis,Ja,Die Apps können nur mit den benötigten Systemen kommunizieren. Die Verbindung zu externen Cloud-Diensten ist deaktiviert. ,Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A9 Sichere Anbindung an Backend-Systeme,Standard,Ja,Die App und das Backend-System kommunizieren verschlüsselt. Hierzu wird ein eigenes Dienstekonto genutzt.,Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A10 Sichere Authentisierung von Apps,Standard,Ja,"Die Apps können erst mit IT-Systemen kommunizieren, wenn sich der Nutzer in der App authentisiert hat. ",Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A11 Zentrales Management von Apps,Standard,Ja,Die RECPLAST GmbH setzt eine MDM-Lösung ein.,Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A12 Sichere Deinstallation von Apps,Standard,Ja,Die Apps werden über das MDM deinstalliert. Alle von der App generierten Daten werden dabei gelöscht. ,Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A13 Entwicklung von Fallback-Lösungen für Apps,Erhöht,Ja,"Aufgrund der Möglichkeit, auf die Daten auch per Notebook oder Arbeitsplatzrechner zuzugreifen, wird dies als Fallback-Lösung angesehen.",,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A14 Unterstützung zusätzlicher Authentisierungsmerkmale bei Apps,Erhöht,Ja,Um die APP zuz nutzen muss man sich mittels Kennwort und OTP authentisieren.,Sicherheitsrichtlinie APPS,IT-Betrieb
A030 Cloud-APP,APP.1.4 Mobile Anwendungen (Apps),APP.1.4.A15 Durchführung von Penetrationstests für Apps,Erhöht,Ja,"Die RECPLAST GmbH erfragt vor dem Einsatz einer APP bei dem Hersteller nach bereits durchgeführten externen Pentests nach. Sollte kein Nachweis vorliegen, wird ein Pentest vereinbart.",Sicherheitsrichtlinie APPS,IT-Betrieb
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A1 Erstellung einer Sicherheitsrichtlinie für Verzeichnisdienste,Basis,Ja,Die RECPLAST GmbH hat eine Sicherheitsrichtlinie für die Verzeichnisdienste.,Sicherheitsrichtlinie Verzeichnisdienste,
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A2 Planung des Einsatzes von Verzeichnisdiensten,Basis,Ja,Der Verzeichnisdienst wird entsprechend den festgelegten Ansprüchen entwickelt. Bei der Entwicklung wird der Datenschutzbeauftragte und die Personalvertretung einbezogen. Im Berechtigungskonzept werden die Berechtigungen für den Verzeichnisdienst berücksichtigt. Die Verzeichnisstruktur ist dokumentiert.,,"Datenschutzbeauftragter, Personalvertretung, IT-Betrieb"
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A3 Einrichtung von Zugriffsberechtigungen auf Verzeichnisdienste,Basis,Ja,"Die Administratoren, welche für den Verzeichnisdienst zuständig sind, sind nicht für die Verwaltung der Daten zuständig. Die Aufgabenbreiche und Berechtigungen sind im Berechtigungskonzept dokumentiert. ",Sicherheitsrichtlinie Verzeichnisdienste,Leiter Informationstechnik
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A4 Sichere Installation von Verzeichnisdiensten,Basis,Ja,Die Installationsanweisungen befinden sich in der Sicherheitsrichtlinie für Verzeichnisdienste.,Sicherheitsrichtlinie Verzeichnisdienste,Administrator
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A5 Sichere Konfiguration und Konfigurationsänderungen von Verzeichnisdiensten,Basis,Ja,"Der Verzeichnisdienst ist entsprechend der Sicherheitsrichtlinie sicher konfiguriert. Sollten Änderungen vorgenommen werden, sind die Benutzer über Wartungsarbeiten zu informieren. Vor Änderungen sind die Daten und Verzeichnisse zu sichern.",Sicherheitsrichtlinie Verzeichnisdienste,Administrator
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A6 Sicherer Betrieb von Verzeichnisdiensten,Basis,Ja,"Alle Richtlinien, Regelungen und Prozesse für die Verzeichnisdienst-Systeme sind dokumentiert. Zugriff auf Administrationswerkzeuge haben nur berechtigte Mitarbeiter.",,
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A7 Erstellung eines Sicherheitskonzepts für den Einsatz von Verzeichnisdiensten,Standard,Ja,Die Sicherheitsrichtlinien sind den Mitarbeitern über das interne Wiki bereitgestellt worden.,,IT-Betrieb
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A8 Planung einer Partitionierung und Replikation im Verzeichnisdienst,Standard,Ja,Die Partitionierung wird ausführlich im Systemmanagement dokumentiert. Für die Replikation steht eine ausreichende Bandbreite zur Verfügung.,Sicherheitsrichtlinie Verzeichnisdienste,IT-Betrieb
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A9 Geeignete Auswahl von Komponenten für Verzeichnisdienste,Standard,Ja,Der Verzeichnisdienst wird entsprechend den festgelegten Ansprüchen entwickelt. Dabei werden auch die benötigten Komponenten ausgewählt.,,"Datenschutzbeauftragter, Personalvertretung, IT-Betrieb"
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A10 Schulung zu Administration und Betrieb von Verzeichnisdiensten,Standard,Ja,Die Administratoren sind entsprechend geschult.,,
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A11 Einrichtung des Zugriffs auf Verzeichnisdienste,Standard,Ja,Der Zugriff ist entprechend den Anforderungen der Sicherheitsrichtlinie konfiguriert. Der Verzeichnisdienst ist nicht als Server im Internet. Anonyme Benutzer haben keinen Zugriff. ,Sicherheitsrichtlinie Verzeichnisdienste,IT-Betrieb
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A12 überwachung von Verzeichnisdiensten,Standard,Ja,"In der Sicherheitsrichtlinie gibt es ein Kapitel, welches die Überwachung definiert.",Sicherheitsrichtlinie Verzeichnisdienste,IT-Betrieb
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A13 Absicherung der Kommunikation mit Verzeichnisdiensten,Standard,Ja,Die Kommunikation zwischen Client und Verzeichnisdienst-Server ist verschlüsselt. ,Sicherheitsrichtlinie Verzeichnisdienste,IT-Betrieb
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A14 Geregelte Außerbetriebnahme eines Verzeichnisdienstes,Standard,Ja,"Vor der Außerbetriebnahme eines Verzeichnisdienstes werden alle Benutzer darüber informiert. Einzelne Partitionen werden nur außer Betrieb genommen, wenn die Funktionsfähigkeit anderer Partitionen nicht beinträchtigt ist.",Sicherheitsrichtlinie Verzeichnisdienste,IT-Betrieb
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A15 Migration von Verzeichnisdiensten,Standard,Ja,"Vor einer geplanten Migration wird ein Migrationskonzept erstellt. Änderungen werden dokumentiert. Falls besondere Berechtigungen für die Migration vergeben werden, werden diese nach Abschluss der Migration wieder entzogen.",Sicherheitsrichtlinie Verzeichnisdienste,IT-Betrieb
A010 Active Directory,APP.2.1 Allgemeiner Verzeichnisdienst,APP.2.1.A16 Erstellung eines Notfallplans für den Ausfall eines Verzeichnisdienstes,Erhöht,Ja,Der Ausfall des Verzeichnisdienstes ist Bestandteil des Notfallhandbuches.,Notfallhandbuch,Leiter Informationstechnik
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A1 Planung des Active Directory,Basis,Ja,"Das Active Directory (AD) wurde so geplant, dass der Bedarf bestmöglich abgedeckt ist. Das Berechtigungskonzept wurde vom IT-Betrieb und dem ISB entworfen. Der Aufbau des AD ist dokumentiert.",Berechtigungskonzept,"Informationssicherheitsbeauftragter, IT-Betrieb"
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A2 Planung der Active Directory-Administration,Basis,Ja,Das AD basiert auf einem rollenbasierten Berechtigungskonzept. Die Berechtigungen sind im Berechtigungskonzept dokumentiert. ,Berechtigungskonzept,IT-Betrieb
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A3 Planung der Gruppenrichtlinien unter Windows,Basis,Ja,"Das AD beinhaltet Gruppenrichtlinien. Diese wurden so geplant und angelegt, dass es keine Überschneidungen gibt. Ausnahmeregelungen sind dokumentiert. Zugriff auf die Gruppenrichtlinien haben nur die AD-Administratoren.",Berechtigungskonzept,IT-Betrieb
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A4 Schulung zur Active Directory-Verwaltung,Basis,Ja,"Die Administratoren haben Schulungen erhalten, um das AD bestmöglich zu administrieren.",,Leiter Informationstechnik
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A5 Härtung des Active Directory,Basis,Ja,"Built-In-Accounts sind mit komplexen Kennwörtern versehen und die Kennwörter sind im Passworttresor der IT hinterlegt. Priviligierte Accoutns sind Mitglied der Gruppe ""Protected Users"". Die Domänen-Controller verfügen über restriktive Zugriffsrechte auf Betriebssystemebene. Der Restore-Modus ist durch ein komplexes Kennwort gesichert. Administrative Tätigktein im AD sind nur im 4-Augen-Prinzip möglich. In der Sicherheitsrichtlinie für Active Directorys sind alle Sicherheitsrelevanten Vorgaben definiert. ",Sicherheitsrichtlinie Active Directory,"Informationssicherheitsbeauftragter, IT-Betrieb"
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A6 Aufrechterhaltung der Betriebssicherheit von Active Directory,Basis,Ja,Die Vertrauensbeziehungen und Rechte im AD werden durch die Administratoren regelmäßig geprüft. Die RECPLAST verfügt über 3 Domänenadministratoren. Nicht mehr verwendete Konten werden immer deaktiviert und nach einer Frist komplett gelöscht. Alle Basisinformationen des AD sind im Systemmanagement dokumentiert.,,IT-Betrieb
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A7 Umsetzung sicherer Verwaltungsmethoden für Active Directory,Basis,Ja,"Die Administratoren verfügen über einen Adminkonto und ein Standardkonto. Das Adminkonto ist nur für administrative Tätigkeiten erlaubt. Alle Accounts lassen sich einem Mitarbeiter eindeutig zuordnen. Das Standardkonto ""Administrator"" wurde umbenannt und es wurde ein unprivilegierter User ""Administrator"" angelegt. Alle Tätigkeiten sind im 4-Augen-Prinzip zu erledigen. Die Domänen-Controller dürfen nicht Remote administriert werden. Die Domänenadministratoren sind Besitzer des Domänenstammobjektes. Der Papierkorb des AD ist aktiviert.",Sicherheitsrichtlinie Active Directory,IT-Betrieb
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A8 Konfiguration des sicheren Kanals unter Windows,Standard,Ja,Der sichere Kanal wurde entsprechend den Sicherheitsanforderungen konfiguriert.,,IT-Betrieb
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A9 Schutz der Authentisierung beim Einsatz von Active Directory,Standard,Ja,Es wird Kerberos eingesetzt. Anonyme Zugriffe auf Domänencontroller sind nicht möglich.,Sicherheitsrichtlinie Active Directory,IT-Betrieb
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A10 Sicherer Einsatz von DNS für Active Directory,Standard,Ja,Es existiert ein entsprechendes DNS-Zonen-Konzept. Zugriff auf Konfigurationsdaten haben nur die berechtigten Administratoren. Die DNS-Anfragen werden regelmäßig nach Auffälligkeiten untersucht. ,Sicherheitsrichtlinie Active Directory,IT-Betrieb
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A11 überwachung der Active Directory-Infrastruktur,Standard,Ja,Die systemeigene Ereignisprotokollierung ist aktiviert. Diese werden regelmäßig überprüft. Die Verfügbarkeit und Systemressourcen werden täglich geprüft. Änderungen auf Domänen-Ebene werden protokolliert und ausgewertet.,Sicherheitsrichtlinie Active Directory,IT-Betrieb
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A12 Datensicherung für Domänen-Controller,Standard,Ja,"Die Datensicherungsrichtlinie beinhaltet die Domänen-Controller. Die Datensicherung des AD erfolgt anhand eines speziellen Dienstekonto. Es wird darauf geachtet, dass veraltete Objekte nicht gesichert werden. Die Sicherungsmedien sind im Datenarchiv gelagert. Das Einspielen der Datensicherungen wird regelmäßig geprobt.",Datensicherungskonzept,IT-Betrieb
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A13 Zwei-Faktor-Authentifizierung,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A14 Dedizierte privilegierte Administrationssysteme,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
Informationsverbund,APP.2.2 Active Directory,APP.2.2.A15 Trennung von Administrations- und Produktionsumgebung,Erhöht,Entbehrlich,Aufgrund des Schutzbedarfs nicht notwendig.,,
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A1 Authentisierung bei Webanwendungen,Basis,Ja,Die Benutzer müssen sich bei allen eingesetzten Webanwendungen authentisieren. Die Kennwörter werden verschlüsselt übertragen. Falls möglich wird die Anwendung mit dem AD verbunden. Sollte ein Mitarbeiter zusätzliche Administrationsrechte für die Anwendung haben ist eine erneute Authentisierung für die Adminrechte notwendig. Die fehlgeschlagenen Anmeldeversuche sind gemäß Passwort-Richtlinie konfiguriert.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A2 Zugriffskontrolle bei Webanwendungen,Basis,Ja,"Alle Webanwendungen verfügen über ein Berechtigungsschema. Falls möglich, wird dies mit dem AD verbunden. Die Rechte werden nach dem Need-to-know-Prinzip vergeben. Dokumentiert werden die Rechte im Berechtigungskonzept. Bei Ausscheiden oder Wechsel des Mitarbeiters werden die Rechte über die Checkliste entzogen. Die Autorisierung erfolgt vom AD oder von der Webanwendung auf einem zentralen Server. ",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A3 Sicheres Session-Management,Basis,Ja,Jede Webanwendung erzeugt Session-Ids. Diese werden im Normalfall von der Anwendung selbst generiert. Die Session-ID wird verschlüsselt übertragen. Die Webanwendungen lassen sich vom Benutzer selbst beenden. Alle Sessions haben eine Gültigkeitsdauer. Inaktive Sitzungen werden automatsich ungültig.,Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A4 Kontrolliertes Einbinden von Daten und Inhalten bei Webanwendungen,Basis,Ja,"Upload-Funktionen einer Webanwendung werden deaktiviert. Falls nötig, können ausgewählte Mitarbeiter Daten hochladen. Die Daten können nur in einem vorgegebenen Pfad gespeichert werden. Der Pfad lässt sich nicht von den Benutzern ändern. Die Mitarbeiter bekommen eine Warnung, wenn eine Weiterleitung zu einer nicht vertrauenswürdigen Seite geplant ist.",Sicherheitsrichtlinie Webanwendungen,IT-Betrieb
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A5 Protokollierung sicherheitsrelevanter Ereignisse von Webanwendungen,Basis,Ja,Alle sicherheitsrelevanten Ereignisse einer Webanwendung werden protokolliert. Zugriff auf die Protokolldaten haben nur autorisierte Mitarbeiter.,Sicherheitsrichtlinie Webanwendungen,"IT-Betrieb, Informationssicherheitsbeauftragter"
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A6 Zeitnahes Einspielen sicherheitsrelevanter Patches und Updates,Basis,Ja,Die RECPLAST GmbH spielt Software-Updates immer zeitnah ein. Zuvor wird das Update auf Funktionalität getestet. Die Administratoren informieren sich über mögliche Schwachstellen und entwickeln entsprechende Maßnahmen. Das Patchlevel wird im Systemmanagement dokumentiert.,Sicherheitsrichtlinie Webanwendungen,"Administrator, IT-Betrieb"
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A7 Schutz vor unerlaubter automatisierter Nutzung von Webanwendungen,Basis,Ja,Die automatisierte Nutzung von Webanwendungen wird von den Administratoren deaktiviert. ,Sicherheitsrichtlinie Webanwendungen,Administrator
A017 Content Management System,APP.3.1 Webanwendungen,APP.3.1.A8 Systemarchitektur einer Webanwendung,Standard,Ja,Vor dem Einsatz einer Webanwendung wird die benötigte Systemarchitektur ermittelt.,Sicherheitsrichtlinie Webanwendungen,Administrator
