Zielobjekt,Baustein,Anforderung,Maßnahme
N005 ReCoBS,NET 3.4 ReCoBS,NET.3.4.A13,Die für ReCoBS benötigte Hardware soll für den Cluster-Betrieb redundant ausgelegt werden.
N006 Switche in den Vertriebsbüros,NET.3.1 Router und Switches,NET.3.1.A24,"Es soll ein netzbasierter Zugriff per 802.1x eingesetzt werden. Dabei muss geprüft werden, ob dies andere Maßnahmen ersetzen kann."
N006 Switche in den Vertriebsbüros,NET.3.1 Router und Switches,NET.3.1.A26,Es werden redundante Switche beschafft.
N007 Router zum Internet der Vertriebsbüros,NET.3.1 Router und Switches,NET.3.1.A24,"Es soll ein netzbasierter Zugriff per 802.1x eingesetzt werden. Dabei muss geprüft werden, ob dies andere Maßnahmen ersetzen kann."
N007 Router zum Internet der Vertriebsbüros,NET.3.1 Router und Switches,NET.3.1.A26,Es wird ein redundanter Router beschafft.
N008 WLAN-Access-Points,NET.2.1 WLAN-Betrieb,NET.2.1.A15,Die bereits vorhandene VPN-Infrastruktur soll auch für die WLANs genutzt werden.
N008 WLAN-Access-Points,NET.2.1 WLAN-Betrieb,NET.2.1.A16,Es wird ein Intrusion Detection System beschafft.
"O002, O004, O005 Kühlschrank, Kaffeevollautomat, Sprachassistent",SYS.4.4 Allgemeines IoT-Gerät,SYS.4.4.A6,Die IoT-Geräte werden in die Sicherheitsrichtlinie der Institution mit aufgenommen.
"O002, O004, O005 Kühlschrank, Kaffeevollautomat, Sprachassistent",SYS.4.4 Allgemeines IoT-Gerät,SYS.4.4.A7,Es wird ein Konzept für IoT-Geräte entwickelt.
"O002, O004, O005 Kühlschrank, Kaffeevollautomat, Sprachassistent",SYS.4.4 Allgemeines IoT-Gerät,SYS.4.4.A8,Es werden Beschaffungskriterien für IoT-Geräte entwickelt.
"O002, O004, O005 Kühlschrank, Kaffeevollautomat, Sprachassistent",SYS.4.4 Allgemeines IoT-Gerät,SYS.4.4.A9,Es werden im Rahmen der Entwicklung eines Konzeptes die Regelungen des Einsatzes mit berücksichtigt.
"O002, O004, O005 Kühlschrank, Kaffeevollautomat, Sprachassistent",SYS.4.4 Allgemeines IoT-Gerät,SYS.4.4.A10,"Es wird geprüft, ob die Installation durch RECPLAST Mitarbeiter sinnvoller ist und ob so Kosten gespart werden können."
"O002, O004, O005 Kühlschrank, Kaffeevollautomat, Sprachassistent",SYS.4.4 Allgemeines IoT-Gerät,SYS.4.4.A14,Es wird ein Freigabeprozess definiert und eingesetzt.
"O002, O004, O005 Kühlschrank, Kaffeevollautomat, Sprachassistent",SYS.4.4 Allgemeines IoT-Gerät,SYS.4.4.A17,Der Netzverkehr soll beim Aufbau eines zentralen Protokollierungsservers und Log-Servers mit berücksichtigt werden.
"O002, O004, O005 Kühlschrank, Kaffeevollautomat, Sprachassistent",SYS.4.4 Allgemeines IoT-Gerät,SYS.4.4.A18,Die IoT-Geräte sollen in das Protokollierungskonzept integriert werden.
"R001, R010, R018 Technikraum",INF.4 IT-Verkabelung,INF.4.A5,Es wird bezüglich der Nutzung des Protokolls sensibilisiert.
"R001, R010, R018 Technikraum",INF.4 IT-Verkabelung,INF.4.A7,Die IT-Verkabelungen werden auf nicht mehr benötigte Kabel überprüft.
"R002, R009 Serverraum",INF.2 Rechenzentrum sowie Serverraum,INF.2.A1,Die Erhebung der Anforderungen wird durchgeführt.
"R002, R009 Serverraum",INF.2 Rechenzentrum sowie Serverraum,INF.2.A10,Die Haustechnik wird auf die Dokumentationspflicht von Wartungen hingewiesen und dazu aufgefordert diese zukünftig ordnungsgemäß zu dokumentieren.
"R002, R009 Serverraum",INF.2 Rechenzentrum sowie Serverraum,INF.2.A14,Es wird eine Netzersatzanlage für die Serverräume angeschafft.
"R002, R009 Serverraum",INF.2 Rechenzentrum sowie Serverraum,INF.2.A19,"Die geplanten Funktionstests werden nachgezogen und zukünftig wird besser darauf geachtet, dass diese durchgeführt werden."
"R002, R009 Serverraum",INF.2 Rechenzentrum sowie Serverraum,INF.2.A20,"Die Haustechnik wird beauftragt, die Infrastruktur- und Baupläne zu aktualisieren."
"R002, R009 Serverraum",INF.2 Rechenzentrum sowie Serverraum,INF.2.A21,"Die Wirksamkeit der Maßnahme soll aufgrund der Redundanz der wichtigsten Server den Kosten gegenübergestellt werden, um so eine Entscheidung treffen zu können."
"R002, R009 Serverraum",INF.2 Rechenzentrum sowie Serverraum,INF.2.A25,Es wird eine redundante USV angeschafft.
"R002, R009 Serverraum",INF.2 Rechenzentrum sowie Serverraum,INF.2.A26,Es wird ein Angebot für eine redundante NEA eingeholt. Anschließend wird über die Umsetzung entschieden.
"R002, R009 Serverraum",INF.2 Rechenzentrum sowie Serverraum,INF.2.A28,Es soll eine Prüfung der Kosten für eine EMA nach VDS-Klasse C durchgeführt werden.
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A7,Die Serverschränke sollen auf nicht mehr benötigte Kabel unterprüft werden.
"R002, R009 Serverraum",INF.4 IT-Verkabelung,INF.4.A5,Es wird bezüglich der Nutzung des Protokolls sensibilisiert.
"R002, R009 Serverraum",INF.4 IT-Verkabelung,INF.4.A7,Die IT-Verkabelungen werden auf nicht mehr benötigte Kabel überprüft.
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A7,Die Serverschränke sollen auf nicht mehr benötigte Kabel unterprüft werden.
R018 Technikraum Vertriebsbüros,INF.4 IT-Verkabelung,INF.4.A9,Die Kennzeichnung der Verkabelung in den Vertriebsbüros wird auf den neusten Stand gebracht.
R019 Datenträgerarchiv,INF.6 Datenträgerarchiv,INF.6.A7,"Es wird ein Angebot für eine Klimaanlage eingeholt.Im Raum wird lediglich ein Tresor mit Tapes aufbewahrt. Diese sind durch den Tresor geschützt, weshalb eine Klimaanlage als nicht zwingend notwendig angesehen wird."
S001 Domänen-Controller,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S001 Domänen-Controller,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S001 Domänen-Controller,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S001 Domänen-Controller,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11,Es wird ein Intrusion Detection System beschafft.
S001 Domänen-Controller,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S002 Dateiserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S002 Dateiserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S002 Dateiserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S002 Dateiserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11,Es wird ein Intrusion Detection System beschafft.
S002 Dateiserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S003 Druckserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S003 Druckserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S003 Druckserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11,Es wird ein Intrusion Detection System beschafft.
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S004 Kommunikationsserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S004 Kommunikationsserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S004 Kommunikationsserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,Es wird ein virtueller redundanter Server erstellt.
S004 Kommunikationsserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11,Es wird ein Intrusion Detection System beschafft.
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12,Es wird ein redundanter Server angeschafft.
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,"Die Datensicherungen werden zentral abgespeichert, so dass jederzeit ein Wiedereinspielen der Datenbank möglich ist. Deshalb wird auf eine Redundanz verzichtet."
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11,Es wird ein Intrusion Detection System beschafft.
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12,"Die Datensicherungen werden zentral abgespeichert, so dass jederzeit ein Wiedereinspielen der Datenbank möglich ist. Deshalb wird auf eine Redundanz verzichtet."
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S006 DB-Server der Finanzbuchhaltung,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S006 DB-Server der Finanzbuchhaltung,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S006 DB-Server der Finanzbuchhaltung,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,"Die Datensicherungen werden zentral abgespeichert, so dass jederzeit ein Wiedereinspielen der Datenbank möglich ist. Deshalb wird auf eine Redundanz verzichtet."
S006 DB-Server der Finanzbuchhaltung,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11,Es wird ein Intrusion Detection System beschafft.
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12,"Die Datensicherungen werden zentral abgespeichert, so dass jederzeit ein Wiedereinspielen der Datenbank möglich ist. Deshalb wird auf eine Redundanz verzichtet."
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S007 Virtualisierungsserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S007 Virtualisierungsserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S007 Virtualisierungsserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S007 Virtualisierungsserver,SYS.1.5 Virtualisierung,SYS.1.5.A22,Die Kosten für den Einsatz von Mandatory Access Controls werden geprüft.
S007 Virtualisierungsserver,SYS.1.5 Virtualisierung,SYS.1.5.A26,Die Kosten für eine PKI wird geprüft.
S007 Virtualisierungsserver,SYS.1.5 Virtualisierung,SYS.1.5.A28,Es werden nach und nach alle virtuellen Systeme verschlüsselt.
S008 Server für Produktionssteuerung,IND.1 Betriebs- und Steuerungstechnik,IND.1.A14,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S008 Server für Produktionssteuerung,IND.1 Betriebs- und Steuerungstechnik,IND.1.A16,Es wird eine P-A-P-Netzstruktur aufgebaut.
S008 Server für Produktionssteuerung,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S008 Server für Produktionssteuerung,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S008 Server für Produktionssteuerung,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,Es wird ein redundanter Server angeschafft.
S008 Server für Produktionssteuerung,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S009 Wiki-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S009 Wiki-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S009 Wiki-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,Da der Server virtuell ist wird auf ein redundanten Server verzichtet. Es sollen jedoch regelmäßige Images der virtuellen Server erstellt werden und eine Dokumentation zum Transferieren der virtuellen Maschine erstellt werden.
S009 Wiki-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S010 Virtualisierungsserver2,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S010 Virtualisierungsserver2,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S010 Virtualisierungsserver2,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,Es soll ein redundanter virtueller Server beschafft werden.
S010 Virtualisierungsserver2,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S010 Virtualisierungsserver2,SYS.1.5 Virtualisierung,SYS.1.5.A22,Die Kosten für den Einsatz von Mandatory Access Controls wird geprüft.
S010 Virtualisierungsserver2,SYS.1.5 Virtualisierung,SYS.1.5.A26,Die Kosten für eine PKI wird geprüft.
S010 Virtualisierungsserver2,SYS.1.5 Virtualisierung,SYS.1.5.A28,Es werden nach und nach alle virtuellen Systeme verschlüsselt.
S011 Ticketsystem,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S011 Ticketsystem,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S011 Ticketsystem,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,Da der Server virtuell ist wird auf ein redundanten Server verzichtet. Es sollen jedoch regelmäßige Images der virtuellen Server erstellt werden und eine Dokumentation zum Transferieren der virtuellen Maschine erstellt werden.
S011 Ticketsystem,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S012 Backupserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S012 Backupserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S012 Backupserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,Es soll ein redundanter Server beschafft werden.
S012 Backupserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11,Es wird ein Intrusion Detection System beschafft.
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12,Es soll ein redundanter Server beschafft werden.
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S013 Windows-Update-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
