Zielobjekt,Gefährdung,Eintrittshäufigkeit ohne zusätzliche Maßnahmen,Auswirkung ohne zusätzliche Maßnahmen,Risiko ohne zusätzliche Maßnahmen,Risikobehandlungs-option,Erläuterung zur Risikobehandlung,Eintrittshäufigkeit mit zusätzlichen Maßnahmen,Auswirkung mit zusätzlichen Maßnahmen,Risiko mit zusätzlichen Maßnahmen
GP002 Angebotswesen,G 0.19 Offenlegung schützenswerter Informationen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.20 Informationen oder Produkte aus unzuverlässiger Quelle,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.21 Manipulation von Hard- oder Software,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.22 Manipulation von Informationen,selten,beträchtlich,mittel,Risikoakzeptanz,Nur berechtigte Administratoren haben Zugriff auf das Datenbanksystem. Diesen Administratoren wird vertraut. Das Restrisiko wird als vertretbar angesehen.,,,
GP002 Angebotswesen,G 0.23 Unbefugtes Eindringen in IT-Systeme,häufig,begrenzt,mittel,Risikoreduktion,Es soll ein Intrusion-Detection-System angeschafft werden.,selten,begrenzt,gering
GP002 Angebotswesen,G 0.24 Zerstörung von Geräten oder Datenträgern,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.25 Ausfall von Geräten oder Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.26 Fehlfunktion von Geräten oder Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.27 Ressourcenmangel,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.28 Software-Schwachstellen oder -Fehler,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Restrisiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.29 Verstoß gegen Gesetze oder Regelungen,mittel,beträchtlich,mittel,Risikoreduktion,Die Mitarbeiter des Angebotswesens werden bezüglich der Einhaltung der geltenden Gesetze und Regelungen sensibilissiert,selten,beträchtlich,mittel
GP002 Angebotswesen,G 0.30 Unberechtigte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.31 Fehlerhafte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.32 Missbrauch von Berechtigungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.33 Personalausfall,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.36 Identitätsdiebstahl,selten,vernachlässigbar,gering,Risikoakzeptanz,Ein Identitätsdiebstahl ist nach Meinung der RECPLAST GmbH nicht möglich. Das Restrisiko ist vertretbar.,,,
GP002 Angebotswesen,G 0.37 Abstreiten von Handlungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.38 Missbrauch personenbezogener Daten,mittel,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
GP002 Angebotswesen,G 0.39 Schadprogramme,selten,beträchtlich,mittel,Risikoreduktion,"Die technischen Maßnahmen zur Risikominimierung für die beteiligten Prozesse des Angebotswesen werden als hinreichend erachtet. Da sich aber diese Gefährdungen insbesondere auch aufgrund von Leichtfertigkeit oder anderen Fehlern der Benutzer ergeben, ist eine grundsätzliche Sensibilisierungsmaßnahme zu den Gefahren durch Schadsoftware, Phishing, Social Engineering etc. geplant. ",selten,beträchtlich,mittel
GP002 Angebotswesen,G 0.40 Verhinderung von Diensten (Denial of Service),mittel,beträchtlich,mittel,Risikoreduktion,Die benötigten Systeme sollen als virtuelle Maschinen betrieben werden. Dadurch ist ein Ausfall von Diensten oder Geräten einfacher und schneller zu beheben.,selten,beträchtlich,mittel
GP002 Angebotswesen,G 0.42 Social Engineering,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
GP002 Angebotswesen,G 0.43 Einspielen von Nachrichten,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
GP002 Angebotswesen,G 0.44 Unbefugtes Eindringen in Räumlichkeiten,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
GP002 Angebotswesen,G 0.45 Datenverlust,selten,begrenzt,gering,Risikoakzeptanz,Das Backupverfahren wird als ausreichend bewertet. Das Restrisiko wird für vertretbar erachtet.,,,
GP002 Angebotswesen,G 0.46 Integritätsverlust schützenswerter Informationen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
