Zielobjekt,Gefährdung,Eintrittshäufigkeit ohne zusätzliche Maßnahmen,Auswirkung ohne zusätzliche Maßnahmen,Risiko ohne zusätzliche Maßnahmen,Risikobehandlungs-option,Erläuterung zur Risikobehandlung,Eintrittshäufigkeit mit zusätzlichen Maßnahmen,Auswirkung mit zusätzlichen Maßnahmen,Risiko mit zusätzlichen Maßnahmen
A005,G 0.45 Datenverlust,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A005,G 0.46 Integritätsverlust schützenswerter Informationen,mittel,beträchtlich,mittel,Risikoreduktion,"Es wird geplant, mithilfe von Prüfprogrammen regelmäßig zu testen, ob es zu Integritätsverletzungen an wichtigen Systemdateien oder anderen kritischen Daten gekommen ist.",selten,beträchtlich,mittel
A006,G 0.14 Ausspähen von Informationen (Spionage),selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A006,G 0.15 Abhören,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A006,G 0.18 Fehlplanung oder fehlende Anpassung,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A006,G 0.19 Offenlegung schützenswerter Informationen,mittel,beträchtlich,mittel,Risikoreduktion,"Die Datenbanken, welche durch das Datenbanksystem verwaltet werden, sollen verschlüsselt werden. ",selten,beträchtlich,mittel
A006,G 0.20 Informationen oder Produkte aus unzuverlässiger Quelle,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A006,G 0.21 Manipulation von Hard- oder Software,selten,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzüfhren.,selten,beträchtlich,mittel
A006,G 0.22 Manipulation von Informationen,selten,beträchtlich,mittel,Risikoakzeptanz,Nur berechtigte Administratoren haben Zugriff auf das Datenbanksystem. Diesen Administratoren wird vertraut. Das Restrisiko wird als vertretbar angesehen.,,,
A006,G 0.23 Unbefugtes Eindringen in IT-Systeme,häufig,begrenzt,mittel,Risikoreduktion,Es soll ein Intrusion-Detection-System angeschafft werden.,selten,begrenzt,gering
A006,G 0.25 Ausfall von Geräten oder Systemen,selten,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzüfhren.,selten,beträchtlich,mittel
A006,G 0.26 Fehlfunktion von Geräten oder Systemen,mittel,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzführen.,selten,beträchtlich,mittel
A006,G 0.27 Ressourcenmangel,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A006,G 0.28 Software-Schwachstellen oder -Fehler,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A006,G 0.30 Unberechtigte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A006,G 0.31 Fehlerhafte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A006,G 0.32 Missbrauch von Berechtigungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A006,G 0.36 Identitätsdiebstahl,selten,vernachlässigbar,gering,Risikoakzeptanz,Ein Identitätsdiebstahl ist nach Meinung der RECPLAST GmbH nicht möglich. Das Restrisiko ist vertretbar.,,,
A006,G 0.37 Abstreiten von Handlungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A006,G 0.39 Schadprogramme,selten,beträchtlich,mittel,Risikoreduktion,"Die technischen Maßnahmen zur Risikominimierung für das Datenbanksystem werden als hinreichend erachtet. Da sich aber diese Gefährdungen insbesondere auch aufgrund von Leichtfertigkeit oder anderen Fehlern der Benutzer ergeben, ist eine grundsätzliche Sensibilisierungsmaßnahme zu den Gefahren durch Schadsoftware, Phishing, Social Engineering etc. geplant. ",selten,beträchtlich,mittel
A006,G 0.40 Verhinderung von Diensten (Denial of Service),selten,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzüfhren.,selten,beträchtlich,mittel
A006,G 0.43 Einspielen von Nachrichten,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A006,G 0.45 Datenverlust,selten,begrenzt,gering,Risikoakzeptanz,Das Backupverfahren wird als ausreichend bewertet. Das Restrisiko wird für vertretbar erachtet.,,,
A006,G 0.46 Integritätsverlust schützenswerter Informationen,selten,beträchtlich,mittel,Risikoreduktion,"Es sollen Datenbank-Security-Tools angeschafft werden. Dadurch werden die möglichen Auswirkungen verringert, da die Integritätsverluste schneller erkannt werden können.",selten,beträchtlich,mittel
A007,G 0.14 Ausspähen von Informationen (Spionage),selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A007,G 0.15 Abhören,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A007,G 0.18 Fehlplanung oder fehlende Anpassung,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A007,G 0.19 Offenlegung schützenswerter Informationen,selten,beträchtlich,mittel,Risikoreduktion,Es wird eine komplette Verschlüsselung der Daten geplant. Dadurch können die Daten nicht mehr von nicht berechtigten eingesehen werden und die Auswirkung wird verringert.,selten,beträchtlich,mittel
A007,G 0.25 Ausfall von Geräten oder Systemen,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A007,G 0.26 Fehlfunktion von Geräten oder Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A007,G 0.30 Unberechtigte Nutzung oder Administration von Geräten und Systemen,mittel,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A007,G 0.31 Fehlerhafte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A007,G 0.40 Verhinderung von Diensten (Denial of Service),selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A007,G 0.46 Integritätsverlust schützenswerter Informationen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A008,G 0.14 Ausspähen von Informationen (Spionage),selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A008,G 0.15 Abhören,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A008,G 0.18 Fehlplanung oder fehlende Anpassung,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A008,G 0.19 Offenlegung schützenswerter Informationen,mittel,beträchtlich,mittel,Risikoreduktion,"Die Datenbanken, welche durch das Datenbanksystem verwaltet werden, sollen verschlüsselt werden. ",selten,beträchtlich,mittel
A008,G 0.20 Informationen oder Produkte aus unzuverlässiger Quelle,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A008,G 0.21 Manipulation von Hard- oder Software,selten,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzführen.,selten,beträchtlich,mittel
A008,G 0.22 Manipulation von Informationen,selten,beträchtlich,mittel,Risikoakzeptanz,Nur berechtigte Administratoren haben Zugriff auf das Datenbanksystem. Diesen Administratoren wird vertraut. Das Restrisiko wird als vertretbar angesehen.,,,
A008,G 0.23 Unbefugtes Eindringen in IT-Systeme,häufig,begrenzt,mittel,Risikoreduktion,Es soll ein Intrusion-Detection-System angeschafft werden.,selten,begrenzt,gering
A008,G 0.25 Ausfall von Geräten oder Systemen,selten,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzüfhren.,selten,beträchtlich,mittel
A008,G 0.26 Fehlfunktion von Geräten oder Systemen,mittel,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzführen.,selten,beträchtlich,mittel
A008,G 0.27 Ressourcenmangel,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A008,G 0.28 Software-Schwachstellen oder -Fehler,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A008,G 0.30 Unberechtigte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A008,G 0.31 Fehlerhafte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A008,G 0.32 Missbrauch von Berechtigungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A008,G 0.36 Identitätsdiebstahl,selten,vernachlässigbar,gering,Risikoakzeptanz,Ein Identitätsdiebstahl ist nach Meinung der RECPLAST GmbH nicht möglich. Das Restrisiko ist vertretbar.,,,
A008,G 0.37 Abstreiten von Handlungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A008,G 0.39 Schadprogramme,selten,beträchtlich,mittel,Risikoreduktion,"Die technischen Maßnahmen zur Risikominimierung für das Datenbanksystem werden als hinreichend erachtet. Da sich aber diese Gefährdungen insbesondere auch aufgrund von Leichtfertigkeit oder anderen Fehlern der Benutzer ergeben, ist eine grundsätzliche Sensibilisierungsmaßnahme zu den Gefahren durch Schadsoftware, Phishing, Social Engineering etc. geplant. ",selten,beträchtlich,mittel
A008,G 0.40 Verhinderung von Diensten (Denial of Service),selten,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzüfhren.,selten,beträchtlich,mittel
A008,G 0.43 Einspielen von Nachrichten,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A008,G 0.45 Datenverlust,selten,begrenzt,gering,Risikoakzeptanz,Das Backupverfahren wird als ausreichend bewertet. Das Restrisiko wird für vertretbar erachtet.,,,
A008,G 0.46 Integritätsverlust schützenswerter Informationen,selten,beträchtlich,mittel,Risikoreduktion,"Es sollen Datenbank-Security-Tools angeschafft werden. Dadurch werden die möglichen Auswirkungen verringert, da die Integritätsverluste schneller erkannt werden können.",selten,beträchtlich,mittel
A009,G 0.15 Abhören,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A009,G 0.18 Fehlplanung oder fehlende Anpassung,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A009,G 0.19 Offenlegung schützenswerter Informationen,mittel,beträchtlich,mittel,Risikoreduktion,"Die Datenbanken, welche durch das Datenbanksystem verwaltet werden, sollen verschlüsselt werden. ",selten,beträchtlich,mittel
A009,G 0.20 Informationen oder Produkte aus unzuverlässiger Quelle,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A009,G 0.21 Manipulation von Hard- oder Software,selten,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzführen.,selten,beträchtlich,mittel
A009,G 0.22 Manipulation von Informationen,selten,beträchtlich,mittel,Risikoakzeptanz,Nur berechtigte Administratoren haben Zugriff auf das Datenbanksystem. Diesen Administratoren wird vertraut. Das Restrisiko wird als vertretbar angesehen.,,,
A009,G 0.23 Unbefugtes Eindringen in IT-Systeme,häufig,begrenzt,mittel,Risikoreduktion,Es soll ein Intrusion-Detection-System angeschafft werden.,selten,begrenzt,gering
A009,G 0.25 Ausfall von Geräten oder Systemen,selten,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzüfhren.,selten,beträchtlich,mittel
A009,G 0.26 Fehlfunktion von Geräten oder Systemen,mittel,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzführen.,selten,beträchtlich,mittel
A009,G 0.27 Ressourcenmangel,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A009,G 0.28 Software-Schwachstellen oder -Fehler,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A009,G 0.30 Unberechtigte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A009,G 0.31 Fehlerhafte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A009,G 0.32 Missbrauch von Berechtigungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A009,G 0.36 Identitätsdiebstahl,selten,vernachlässigbar,gering,Risikoakzeptanz,Ein Identitätsdiebstahl ist nach Meinung der RECPLAST GmbH nicht möglich. Das Restrisiko ist vertretbar.,,,
A009,G 0.37 Abstreiten von Handlungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A009,G 0.39 Schadprogramme,selten,beträchtlich,mittel,Risikoreduktion,"Die technischen Maßnahmen zur Risikominimierung für das Datenbanksystem werden als hinreichend erachtet. Da sich aber diese Gefährdungen insbesondere auch aufgrund von Leichtfertigkeit oder anderen Fehlern der Benutzer ergeben, ist eine grundsätzliche Sensibilisierungsmaßnahme zu den Gefahren durch Schadsoftware, Phishing, Social Engineering etc. geplant. ",selten,beträchtlich,mittel
A009,G 0.40 Verhinderung von Diensten (Denial of Service),selten,beträchtlich,mittel,Risikoreduktion,Die Datenbanksysteme sollen als virtuelle Maschine betrieben werden. Dadurch ist der Umzug bei einem Ausfall oder Manipulation leichter durchzüfhren.,selten,beträchtlich,mittel
A009,G 0.43 Einspielen von Nachrichten,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A009,G 0.45 Datenverlust,selten,begrenzt,gering,Risikoakzeptanz,Das Backupverfahren wird als ausreichend bewertet. Das Restrisiko wird für vertretbar erachtet.,,,
A009,G 0.46 Integritätsverlust schützenswerter Informationen,selten,beträchtlich,mittel,Risikoreduktion,"Es sollen Datenbank-Security-Tools angeschafft werden. Dadurch werden die möglichen Auswirkungen verringert, da die Integritätsverluste schneller erkannt werden können.",selten,beträchtlich,mittel
A010,G 0.11 Ausfall oder Störung von Dienstleistern,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wurde das verbleibende Restrisiko für vertretbar gehalten. Desweiteren ist das Active Directory nicht von Dienstleistern abhängig.,,,
A010,G 0.14 Ausspähen von Informationen (Spionage),selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird  das verbleibende Restrisiko für vertretbar gehalten.,,,
A010,G 0.15 Abhören,selten,beträchtlich,mittel,Risikoakzeptanz,Auf das Active Directory dürfen nur berechtigte Administratoren zugreifen bzw. Änderungen vornehmen. Diesen Administratoren wird vertraut. Das Restrisiko wird als vertretbar eingeschätzt und übernommen.,,,
A010,G 0.18 Fehlplanung oder fehlende Anpassung,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wurde das verbleibende Restrisiko für vertretbar gehalten.,,,
A010,G 0.19 Offenlegung schützenswerter Informationen,selten,beträchtlich,mittel,Risikoakzeptanz,Änderungen am Active Directory sowie das Exportieren von Konfigurationseinstellungen wird protokolliert. Zusätzlich haben nur berechtigte Mitarbeiter Zugriff auf das Active Directory. Das Restrisiko wird als vertretbar gehalten.,,,
A010,G 0.21 Manipulation von Hard- oder Software,selten,vernachlässigbar,gering,Risikoakzeptanz,Der Host des Active Directory-Servers ist redundant vorhanden. Das Restrisiko wird als vertretbar bewertet.,,,
A010,G 0.22 Manipulation von Informationen,selten,begrenzt,gering,Risikoakzeptanz,Auf das Active Directory dürfen nur berechtigte Administratoren zugreifen bzw. Änderungen vornehmen. Diesen Administratoren wird vertraut. Das Restrisiko wird als vertretbar eingeschätzt und übernommen.,,,
A010,G 0.23 Unbefugtes Eindringen in IT-Systeme,selten,beträchtlich,mittel,Risikoreduktion,Es soll ein Intrusion-Detection-System angeschafft werden.,selten,beträchtlich,mittel
A010,G 0.25 Ausfall von Geräten oder Systemen,selten,vernachlässigbar,gering,Risikoakzeptanz,Der Host des Active Directory-Servers ist redundant vorhanden. Das Restrisiko wird als vertretbar bewertet.,,,
A010,G 0.26 Fehlfunktion von Geräten oder Systemen,selten,begrenzt,gering,Risikoakzeptanz,Der Host des Active Directory-Servers ist redundant vorhanden. Das Restrisiko wird als vertretbar bewertet.,,,
A010,G 0.27 Ressourcenmangel,selten,begrenzt,gering,Risikoakzeptanz,Die Ressourcen werden regelmäßig überprüft. Das Restrisiko wird als vertretbar eingeschätzt.,,,
